run_id	llm	prompt_combination	test_id	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0001	gemma4_26b_no_thinking	baseline	simple_01	simple	structured_wording	0.00	0.85	0.00	28200	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by product category for the year 1997",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997"\n  ]\n}	3673	3673	919	919	1124	102	1226	28192	12764	10403	5017	108.04	20.33	true			2026-09-19 04:49:01
run_0002	gemma4_26b_no_thinking	baseline	simple_02	simple	structured_wording	0.00	0.85	0.00	8621	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "average store cost by store type",\n  "aggregateFunction": "avg",\n  "measure": "store_cost",\n  "gamma": [\n    "store_dim.store_type"\n  ],\n  "sigma": []\n}	3649	3649	913	913	1116	74	1190	8613	1	5055	3549	220.75	20.85	true			2026-09-19 04:49:29
run_0003	gemma4_26b_no_thinking	baseline	simple_03	simple	structured_wording	0.00	0.85	0.00	7950	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales across the entire cube?	sales_cube	Sum	store_sales	[]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": []\n}	3658	3658	915	915	1117	59	1176	7942	1	5109	2826	218.62	20.87	true			2026-09-19 04:49:38
run_0004	gemma4_26b_no_thinking	baseline	simple_04	simple	natural_wording	0.00	0.85	0.00	8834	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	How much sales revenue did each product family generate?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "How much sales revenue did each product family generate?",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": []\n}	3660	3660	915	915	1116	77	1193	8826	1	5099	3719	218.84	20.70	true			2026-09-19 04:49:46
run_0005	gemma4_26b_no_thinking	baseline	simple_05	simple	natural_wording	0.00	0.82	0.00	10157	true	1.00	0.90	1.00	0.00	1.00	false	false	70.00	85.00	true	true	false	true	true	false	true	0	0	0	0	0	1	How much sales revenue came from stores in California during 1998?	sales_cube	Sum	store_sales	[]	[store_dim.store_state='CA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "How much sales revenue came from stores in California during 1998?",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": [\n    "store_dim.store_state = 'California'",\n    "date_dim.the_year = 1998"\n  ]\n}	3670	3670	918	918	1122	103	1225	10150	1	5177	4965	216.71	20.74	true			2026-09-19 04:49:55
run_0006	gemma4_26b_no_thinking	baseline	medium_01	medium	structured_wording	0.00		0.00	11350	false						false	false	55.00	55.00	false	true	false	true	true	false	false	0	0	0	2	0	0	What are the total unit sales by store state and quarter for stores in the USA during 1998?	sales_cube	Sum	unit_sales	[store_dim.store_state, date_dim.year_quarter]	[store_dim.store_country='USA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "total unit sales by store state and quarter for stores in the USA during 1998",\n  "aggregateFunction": "sum",\n  "measure": "unit_sales",\n  "gamma": [\n    "store_dim.store_state",\n    "date_dim.year_quarter"\n  ],\n  "sigma": [\n    "store_dim.store_country = 'USA'",\n    "date_dim.the_year = 1998"	3695	3695	924	924	1129	128	1257	11342	1	5258	6077	214.69	21.06	true			2026-09-19 04:50:05
run_0007	gemma4_26b_no_thinking	baseline	medium_02	medium	structured_wording	0.00	0.85	0.00	10968	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What is the average store cost by product family for stores in the USA during 1997?	sales_cube	Avg	store_cost	[product_dim.product_family]	[store_dim.store_country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "average store cost by product family for stores in the USA during 1997",\n  "aggregateFunction": "avg",\n  "measure": "store_cost",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": [\n    "store_dim.store_country = 'USA'",\n    "date_dim.the_year = 1997"\n  ]\n}	3687	3687	922	922	1127	119	1246	10960	1	5153	5799	218.67	20.52	true			2026-09-19 04:50:16
run_0008	gemma4_26b_no_thinking	baseline	medium_03	medium	structured_wording	0.00	0.85	0.00	10773	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales by promotion media type and product category during 1997?	sales_cube	Sum	store_sales	[promotion_dim.media_type, product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by promotion media type and product category during 1997",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [\n    "promotion_dim.media_type",\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997"\n  ]\n}	3692	3692	923	923	1126	115	1241	10757	1	5142	5609	218.97	20.50	true			2026-09-19 04:50:27
run_0009	gemma4_26b_no_thinking	baseline	medium_04	medium	natural_wording	0.00	0.85	0.00	10749	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	Among Golden-card customers in the USA, how many units did men and women buy?	sales_cube	Sum	unit_sales	[customer_dim.gender]	[customer_dim.member_card='Golden', customer_dim.country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "Among Golden-card customers in the USA, how many units did men and women buy?",\n  "aggregateFunction": "SUM",\n  "measure": "unit_sales",\n  "gamma": [\n    "customer_dim.gender"\n  ],\n  "sigma": [\n    "customer_dim.member_card = 'Golden'",\n    "customer_dim.country = 'USA'"\n  ]\n}	3681	3681	921	921	1124	112	1236	10740	1	5102	5630	220.27	19.89	true			2026-09-19 04:50:38
run_0010	gemma4_26b_no_thinking	baseline	medium_05	medium	natural_wording	0.00	0.81	0.00	11644	true	1.00	0.88	1.00	0.00	1.00	false	false	70.00	85.00	true	true	false	true	true	false	true	0	0	0	0	0	1	During 1997, how did the sales revenue from low-fat products change from month to month?	sales_cube	Sum	store_sales	[date_dim.year_and_month]	[product_dim.low_fat='1', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "sales revenue from low-fat products change from month to month during 1997",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997",\n    "product_dim.low_fat = 'Y'"\n  ]\n}	3692	3692	923	923	1129	122	1251	11636	1	5245	6383	215.25	19.11	true			2026-09-19 04:50:49
