llm	prompt_technique	test_id	weighted_score	response_time_ms	run_id	timestamp	difficulty	question	llm_call_success	strict_valid	strict_accuracy	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens	prompt_eval_count	eval_count	total_duration_ms	prompt_eval_duration_ms	eval_duration_ms	error_type	error_message
qwen3-coder:30b	rules_template	test1	100.00	22582	run_0001	2026-05-11 03:09:34	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7231	7231	1808	1584	40	22565	18053	2830		
qwen3-coder:30b	rules_template	test2	85.00	4446	run_0002	2026-05-11 03:09:57	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	true	true	true	true	false	true	0	1	1	0	0	0	7252	7252	1813	1589	51	4439	650	3688		
qwen3-coder:30b	rules_template	test3	100.00	4362	run_0003	2026-05-11 03:10:01	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7282	7282	1821	1595	50	4355	722	3550		
qwen3-coder:30b	rules_template	test4	100.00	3667	run_0004	2026-05-11 03:10:05	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7246	7246	1812	1584	42	3660	538	3029		
qwen3-coder:30b	rules_template	test5	100.00	4119	run_0005	2026-05-11 03:10:09	medium	What are the total store sales of low-fat products by month in 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7230	7230	1808	1585	48	4111	563	3457		
qwen3-coder:30b	rules_template	test6	100.00	4336	run_0006	2026-05-11 03:10:13	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7272	7272	1818	1586	51	4328	582	3660		
qwen3-coder:30b	rules_template	test7	100.00	4741	run_0007	2026-05-11 03:10:18	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7278	7278	1820	1595	55	4734	734	3918		
qwen3-coder:30b	rules_template	test8	100.00	5319	run_0008	2026-05-11 03:10:22	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	2	7300	7300	1825	1597	62	5312	757	4465		
qwen3-coder:30b	rules_template	test9	85.00	4150	run_0009	2026-05-11 03:10:28	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	0	7237	7237	1810	1585	49	4144	559	3501		
qwen3-coder:30b	rules_template	test10	100.00	2359	run_0010	2026-05-11 03:10:32	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7222	7222	1806	1578	26	2352	449	1817		
qwen3-coder:30b	rules_generic_examples	test1	100.00	21601	run_0011	2026-05-11 03:10:34	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7049	7049	1763	1569	52	21595	17770	3733		
qwen3-coder:30b	rules_generic_examples	test2	100.00	5990	run_0012	2026-05-11 03:10:56	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7070	7070	1768	1574	68	5982	1013	4880		
qwen3-coder:30b	rules_generic_examples	test3	100.00	6055	run_0013	2026-05-11 03:11:02	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7100	7100	1775	1580	67	6049	1120	4834		
qwen3-coder:30b	rules_generic_examples	test4	100.00	4901	run_0014	2026-05-11 03:11:08	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7064	7064	1766	1569	54	4895	924	3882		
qwen3-coder:30b	rules_generic_examples	test5	85.00	5687	run_0015	2026-05-11 03:11:13	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	1	7048	7048	1762	1570	64	5680	930	4651		
qwen3-coder:30b	rules_generic_examples	test6	100.00	5606	run_0016	2026-05-11 03:11:18	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	1	7090	7090	1773	1571	63	5600	978	4539		
