run_id	llm	prompt_combination	test_id	pair_id	wording_type	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	adjusted_duration_ms	adjusted_duration_s	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0001	gemma4:26b	baseline	pair_11_structured	pair_11	structured	complex	structured_wording	1.00	0.85	1.00	13119	true	1.00	1.00	1.00	0.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.state_province]	[date_dim.the_year='1997', customer_dim.country='USA', product_dim.product_subcategory='Milk']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month",\n    "customer_dim.state_province"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997",\n    "customer_dim.country = 'USA'",\n    "product_dim.product_subcategory = 'Milk'"\n  ]\n}	3749	3749	938	938	1137	154	1291	13111	1	13110	13.110	5418	7686	209.83	20.03	true			2026-09-23 01:14:02
run_0002	gemma4:26b	baseline	pair_11_natural	pair_11	natural	complex	natural_wording	0.00	0.80	0.00	12539	true	1.00	0.83	1.00	0.00	1.00	false	false	90.00	90.00	true	true	true	true	true	false	false	0	0	0	1	1	0	For customers in the USA who bought Milk products in 1997, how much sales revenue came from each state in each month?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.state_province]	[date_dim.the_year='1997', customer_dim.country='USA', product_dim.product_subcategory='Milk']	{\n  "cubeName": "sales_cube",\n  "queryName": "sales revenue by state and month for USA customers buying Milk in 1997",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "customer_dim.state_province",\n    "date_dim.year_and_month"\n  ],\n  "sigma": [\n    "customer_dim.country = 'USA'",\n    "product_dim.product_category = 'Milk'",\n    "date_dim.the_year = 1997"\n  ]\n}	3721	3721	931	931	1134	144	1278	12531	1	12530	12.530	5071	7452	223.61	19.32	true			2026-09-23 01:14:15
run_0003	gemma4:26b	baseline	pair_14_natural	pair_14	natural	complex	natural_wording	0.00	0.78	0.00	13266	true	1.00	0.76	1.00	0.00	1.00	false	false	85.00	92.50	true	true	true	true	true	false	false	0	0	0	1	1	1	For Food purchases made by customers from Washington in the USA during 1997, how did sales revenue vary across quarters and brands?	sales_cube	Sum	store_sales	[date_dim.year_quarter, product_dim.brand_name]	[product_dim.product_family='Food', customer_dim.state_province='WA', customer_dim.country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "sales revenue variation by quarter and brand for food in Washington USA 1997",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_quarter",\n    "product_dim.brand_name"\n  ],\n  "sigma": [\n    "product_dim.product_category = 'Food'",\n    "customer_dim.state_province = 'Washington'",\n    "customer_dim.country = 'USA'",\n    "date_dim.the_year = 1997"\n  ]\n}	3735	3735	934	934	1134	156	1290	13256	1	13255	13.255	5140	8108	220.61	19.24	true			2026-09-23 01:14:28
run_0004	gemma4:26b	baseline	pair_14_structured	pair_14	structured	complex	structured_wording	0.00	0.84	1.00	13657	true	1.00	0.95	1.00	0.00	1.00	false	true	92.50	100.00	true	true	true	true	true	false	true	0	0	0	0	0	1	What are the total store sales by quarter and brand during 1997 for products in the Food product family purchased by customers from Washington state in the USA?	sales_cube	Sum	store_sales	[date_dim.year_quarter, product_dim.brand_name]	[product_dim.product_family='Food', customer_dim.state_province='WA', customer_dim.country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by quarter and brand during 1997 for products in the Food product family purchased by customers from Washington state in the USA",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_quarter",\n    "product_dim.brand_name"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997",\n    "product_dim.product_family = 'Food'",\n    "customer_dim.state_province = 'Washington'",\n    "customer_dim.country = 'USA'"\n  ]\n}	3764	3764	941	941	1139	168	1307	13649	1	13648	13.648	5224	8417	218.00	19.96	true			2026-09-23 01:14:41
run_0005	gemma4:26b	baseline	pair_07_natural	pair_07	natural	medium	natural_wording	1.00	0.85	1.00	10854	true	1.00	1.00	1.00	0.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	For stores in the USA in 1997, how did the average store cost compare across product families?	sales_cube	Avg	store_cost	[product_dim.product_family]	[store_dim.store_country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "average store cost by product family for USA stores in 1997",\n  "aggregateFunction": "AVG",\n  "measure": "store_cost",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": [\n    "store_dim.store_country = 'USA'",\n    "date_dim.the_year = 1997"\n  ]\n}	3698	3698	925	925	1129	117	1246	10845	1	10844	10.844	5076	5760	222.39	20.31	true			2026-09-23 01:14:55
run_0006	gemma4:26b	baseline	pair_07_structured	pair_07	structured	medium	structured_wording	1.00	0.85	1.00	10770	true	1.00	1.00	1.00	0.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What is the average store cost by product family for stores in the USA during 1997?	sales_cube	Avg	store_cost	[product_dim.product_family]	[store_dim.store_country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "average store cost by product family for stores in the USA during 1997",\n  "aggregateFunction": "avg",\n  "measure": "store_cost",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": [\n    "store_dim.store_country = 'USA'",\n    "date_dim.the_year = 1997"\n  ]\n}	3687	3687	922	922	1127	119	1246	10762	2	10760	10.760	5024	5730	224.31	20.77	true			2026-09-23 01:15:06
run_0007	gemma4:26b	baseline	pair_08_natural	pair_08	natural	medium	natural_wording	1.00	0.85	1.00	11077	true	1.00	1.00	1.00	0.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	In 1997, how much sales revenue came from each product category under each type of promotional media?	sales_cube	Sum	store_sales	[promotion_dim.media_type, product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "In 1997, how much sales revenue came from each product category under each type of promotional media?",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_category",\n    "promotion_dim.media_type"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997"\n  ]\n}	3705	3705	927	927	1129	121	1250	11069	1	11068	11.068	5085	5977	222.01	20.24	true			2026-09-23 01:15:16
run_0008	gemma4:26b	baseline	pair_08_structured	pair_08	structured	medium	structured_wording	1.00	0.85	1.00	10705	true	1.00	1.00	1.00	0.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total store sales by promotion media type and product category during 1997?	sales_cube	Sum	store_sales	[promotion_dim.media_type, product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by promotion media type and product category during 1997",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "promotion_dim.media_type",\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997"\n  ]\n}	3692	3692	923	923	1126	115	1241	10697	1	10696	10.696	5086	5604	221.36	20.52	true			2026-09-23 01:15:27
run_0009	gemma4:26b	baseline	pair_09_structured	pair_09	structured	medium	structured_wording	1.00	0.85	1.00	10465	true	1.00	1.00	1.00	0.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total unit sales by customer gender for Golden-card customers in the USA?	sales_cube	Sum	unit_sales	[customer_dim.gender]	[customer_dim.member_card='Golden', customer_dim.country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "total unit sales by customer gender for Golden-card customers in the USA",\n  "aggregateFunction": "sum",\n  "measure": "unit_sales",\n  "gamma": [\n    "customer_dim.gender"\n  ],\n  "sigma": [\n    "customer_dim.member_card = 'Golden'",\n    "customer_dim.country = 'USA'"\n  ]\n}	3690	3690	923	923	1124	109	1233	10457	1	10456	10.456	5033	5416	223.32	20.12	true			2026-09-23 01:15:38
run_0010	gemma4:26b	baseline	pair_09_natural	pair_09	natural	medium	natural_wording	1.00	0.85	1.00	10697	true	1.00	1.00	1.00	0.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	Among Golden-card customers in the USA, how many units did men and women buy?	sales_cube	Sum	unit_sales	[customer_dim.gender]	[customer_dim.member_card='Golden', customer_dim.country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "Among Golden-card customers in the USA, how many units did men and women buy?",\n  "aggregateFunction": "SUM",\n  "measure": "unit_sales",\n  "gamma": [\n    "customer_dim.gender"\n  ],\n  "sigma": [\n    "customer_dim.member_card = 'Golden'",\n    "customer_dim.country = 'USA'"\n  ]\n}	3681	3681	921	921	1124	112	1236	10690	1	10689	10.689	5075	5607	221.47	19.97	true			2026-09-23 01:15:49
