run_id	llm	prompt_combination	test_id	pair_id	wording_type	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	adjusted_duration_ms	adjusted_duration_s	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0001	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_10_structured	pair_10	structured	medium	structured_wording	0.00	0.51	0.00	6984	true	0.00	0.38	1.00	1.00	1.00	false	false	40.00	55.00	true	true	true	true	false	false	false	2	1	1	1	1	1	What are the total store sales by month during 1997 for low-fat products?	sales_cube	Sum	store_sales	[date_dim.year_and_month]	[product_dim.low_fat='1', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "TotalStoreSalesByMonthForLowFatProductsIn1997",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": ["date_dim.month"],\n  "sigma": ["product_dim.low_fat='Y'", "date_dim.year='1997'"]\n}	12933	12933	3234	3234	2836	82	2918	6969	1	6968	6.968	2045	4906	1386.25	16.71	true			2026-09-21 15:59:36
run_0002	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_10_natural	pair_10	natural	medium	natural_wording	0.00	0.66	0.00	7100	true	0.00	0.88	1.00	1.00	1.00	false	false	55.00	70.00	true	true	true	true	false	false	true	1	1	1	0	0	1	During 1997, how did the sales revenue from low-fat products change from month to month?	sales_cube	Sum	store_sales	[date_dim.year_and_month]	[product_dim.low_fat='1', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "MonthlySalesRevenueFromLowFatProductsIn1997",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": ["date_dim.month"],\n  "sigma": ["product_dim.low_fat='Y'", "date_dim.the_year='1997'"]\n}	12948	12948	3237	3237	2839	81	2920	7086	1	7085	7.085	2260	4805	1255.76	16.85	true			2026-09-21 15:59:43
run_0003	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_04_natural	pair_04	natural	simple	natural_wording	1.00	1.00	1.00	5478	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	How much sales revenue did each product family generate?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "SalesRevenueByProductFamily",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": ["product_dim.product_family"],\n  "sigma": []\n}	12916	12916	3229	3229	2827	55	2882	5465	1	5464	5.464	2171	3276	1302.15	16.79	true			2026-09-21 15:59:50
run_0004	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_04_structured	pair_04	structured	simple	structured_wording	1.00	1.00	1.00	5326	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total store sales by product family?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "TotalStoreSalesByProductFamily",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": ["product_dim.product_family"],\n  "sigma": []\n}	12909	12909	3228	3228	2827	56	2883	5312	1	5311	5.311	1980	3316	1427.35	16.89	true			2026-09-21 15:59:55
run_0005	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_01_natural	pair_01	natural	simple	natural_wording	1.00	1.00	1.00	6472	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	In 1997, how much sales revenue did each product category generate?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "SalesRevenueByProductCategoryFor1997",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": ["product_dim.product_category"],\n  "sigma": ["date_dim.the_year='1997'"]\n}	12927	12927	3232	3232	2834	71	2905	6459	1	6458	6.458	2228	4212	1271.88	16.86	true			2026-09-21 16:00:01
run_0006	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_01_structured	pair_01	structured	simple	structured_wording	1.00	1.00	1.00	6529	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "TotalStoreSalesByProductCategoryFor1997",\n  "aggregateFunction": "Sum",\n  "measure": "store_sales",\n  "gamma": ["product_dim.product_category"],\n  "sigma": ["date_dim.the_year='1997'"]\n}	12929	12929	3233	3233	2835	72	2907	6516	1	6515	6.515	2235	4262	1268.37	16.89	true			2026-09-21 16:00:07
run_0007	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_06_structured	pair_06	structured	medium	structured_wording	0.00	0.93	0.00	7677	true	0.75	1.00	1.00	1.00	1.00	false	false	85.00	85.00	true	true	true	true	false	true	true	0	1	1	0	0	0	What are the total unit sales by store state and quarter for stores in the USA during 1998?	sales_cube	Sum	unit_sales	[store_dim.store_state, date_dim.year_quarter]	[store_dim.store_country='USA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "TotalUnitSalesByStoreStateAndQuarterForUSStoresIn1998",\n  "aggregateFunction": "Sum",\n  "measure": "unit_sales",\n  "gamma": ["store_dim.store_state", "date_dim.quarter"],\n  "sigma": ["store_dim.store_country='USA'", "date_dim.the_year='1998'"]\n}	12951	12951	3238	3238	2840	91	2931	7664	1	7663	7.663	2241	5404	1267.19	16.84	true			2026-09-21 16:00:14
run_0008	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_06_natural	pair_06	natural	medium	natural_wording	0.00	0.93	0.00	7594	true	0.75	1.00	1.00	1.00	1.00	false	false	85.00	85.00	true	true	true	true	false	true	true	0	1	1	0	0	0	For stores in the USA in 1998, how many units were sold in each state during each quarter?	sales_cube	Sum	unit_sales	[store_dim.store_state, date_dim.year_quarter]	[store_dim.store_country='USA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "UnitsSoldByStateAndQuarterForUSStoresIn1998",\n  "aggregateFunction": "Sum",\n  "measure": "unit_sales",\n  "gamma": ["store_dim.store_state", "date_dim.quarter"],\n  "sigma": ["store_dim.store_country='USA'", "date_dim.the_year='1998'"]\n}	12950	12950	3238	3238	2841	89	2930	7579	1	7578	7.578	2275	5283	1248.41	16.85	true			2026-09-21 16:00:21
run_0009	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_02_natural	pair_02	natural	simple	natural_wording	0.00		0.00	5397	false						false	false	100.00	100.00	false	true	true	true	true	true	true	0	0	0	0	0	0	How does the average store cost compare across the different store types?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "AverageStoreCostByStoreType",\n  "aggregateFunction": "Avg",\n  "measure": "store_cost",\n  "gamma": ["store_dim.store_type"],\n  "sigma": []\n}\n```	12933	12933	3234	3234	2830	57	2887	5384	1	5383	5.383	1991	3376	1421.02	16.88	true			2026-09-21 16:00:29
run_0010	qwen3-coder:30b	instructions_for_query_generation+prescription_of_result+examples	pair_02_structured	pair_02	structured	simple	structured_wording	1.00	1.00	1.00	5322	true	1.00	1.00	1.00	1.00	1.00	true	true	100.00	100.00	true	true	true	true	true	true	true	0	0	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "AverageStoreCostByStoreType",\n  "aggregateFunction": "Avg",\n  "measure": "store_cost",\n  "gamma": ["store_dim.store_type"],\n  "sigma": []\n}	12905	12905	3227	3227	2827	56	2883	5309	1	5308	5.308	1979	3314	1428.40	16.90	true			2026-09-21 16:00:34
